Airlines,Airplane,Pallet,Base Outer Diameter Length/cm,Base Outer Diameter Width/cm,Height/cm,Transition Height/cm,Status,Inner Length/cm,Inner Width/cm,Top Length/cm,Top Width/cm,Bottom Length/cm,Bottom Width/cm,Volume Allowed/m3,Pallet Type,Low Pallet
*,330,QM-LD,406,244,160,50,Active,308,234,406,244,318,244,15.85,low-pallet-flare,true
*,A330,PMC - K4,318,244,239,155,Active,308,234,146,244,318,244,16.78,slope-both-sides,false
*,A330,PMC - L2,244,318,244,91,Active,234,308,94,318,244,318,15.28,slope-one-side,false
*,B-747F,W2,460,244,160,50,Active,308,234,460,244,318,244,17.96,low-pallet-flare,true
*,B-747F,BULK,244,532,100,100,Active,234,522,244,532,244,532,12.98,box,false
*,B767-300,P8,244,153,163,163,Active,234,143,244,153,244,153,6.09,box,false
*,B-777F,H9G,488,600,300,190,Active,476,600,240,600,488,600,79.66,slope-both-sides,false
*,B737-800F,AFT,292,605,119,40,Active,122,605,292,605,122,605,21.02,low-pallet-flare,true
*,B737-800F,FWD,305,308,112,40,Active,122,308,305,308,122,308,10.52,low-pallet-flare,true
*,B767-300,PMC-探,400,244,200,33,Active,308,234,400,244,318,244,19.52,low-pallet-flare,true
*,B767-300,LD8,317,153,163,43,Active,234,143,317,153,244,153,7.91,low-pallet-flare,true
,B767-300,PMC,318,244,163,163,Active,308,234,318,244,318,244,12.65,box,false
*,B767-300,Q2(A2-A12),224,317,244,104,Active,214,307,114,317,224,317,14.89,slope-one-side,false
*,B767-300,Q1(A1&A13),317,224,201,119,Active,307,214,123,224,317,224,12.49,slope-both-sides,false
*,B737-800,PMC,318,244,200,120,Active,308,234,130,244,318,244,13.68,slope-both-sides,false
*,B737-800,P11,318,224,198,106,Active,308,214,134,224,318,224,12.21,slope-both-sides,false
*,B737-800,P2-P10,318,224,198,111,Active,308,214,134,224,318,224,12.31,slope-both-sides,false
*,B737-800,P1,318,224,198,99,Active,308,214,93,224,318,224,11.61,slope-both-sides,false
*,B737-800F,C11,317,224,193,105,Active,307,214,135,224,317,224,11.91,slope-both-sides,false
*,B737-800F,C1,317,224,193,95,Active,307,214,135,224,317,224,11.71,slope-both-sides,false
*,B737-800F,C2-C10,317,224,193,125,Active,307,214,135,224,317,224,12.32,slope-both-sides,false
*,B737-400F,C11,223,224,170,125,Active,213,214,121,224,223,224,7.98,slope-both-sides,false
*,B737-300F,C1-C8,318,224,193,125,Active,308,214,135,224,318,224,12.35,slope-both-sides,false
*,B737-400F,C2-C10,318,224,193,125,Active,308,213,135,224,318,224,12.35,slope-both-sides,false
*,B767-300,PAG(A2-A12),223,317,243,108,Active,213,307,114,317,223,317,14.85,slope-one-side,false
*,B767-300,PAG(A1/A17),317,224,200,119,Active,307,214,179,224,317,224,12.95,slope-both-sides,false
*,B757-200F,C1-C14,317,224,200,134,Active,307,214,170,224,317,224,13.11,slope-both-sides,false
*,B757-200F,C15,317,224,195,90,Active,307,214,130,224,317,224,11.65,slope-both-sides,false
*,B-777F,J4,244,318,300,197,Active,224,307,117,318,244,318,21.2,slope-one-side,false
*,B-777F,Q5,244,318,290,190,Active,234,308,120,318,244,318,20.53,slope-one-side,false
*,B-777F,LD,380,244,160,50,Active,308,234,380,244,318,244,14.84,low-pallet-flare,true
*,B-777F,PAG(318*224),224,318,242,145,Active,214,308,104,318,224,318,15.39,slope-one-side,false
*,B-747F,QW(PAG),460,224,160,90,Active,308,214,460,224,318,224,16.49,low-pallet-flare,true
*,A330,PAG(318*224),224,318,242,145,Active,214,308,104,318,224,318,15.39,slope-one-side,false
*,B-777F,ZR(PAG),224,318,292,192,Active,214,308,101,318,224,318,18.84,slope-one-side,false
*,B-747F,Q7,244,318,298,244,Active,234,308,166,318,244,318,22.45,slope-one-side,false
*,B-747F,Q6(PYB),244,140,244,244,Active,234,130,244,140,244,140,8.34,box,false
*,B-747F,QL(QR),234,130,300,244,Active,234,130,183,130,234,130,8.94,slope-one-side,false
*,B-747F,AKE,156,153,160,30,Active,102,143,156,153,112,153,3.82,ake-container,true
*,B-777F,AR(CA),244,308,293,130,Active,234,298,111,308,244,308,18.68,slope-one-side,false
*,B-777F,AL(CA),224,308,293,130,Active,214,298,100,308,224,308,17.1,slope-one-side,false
*,B-777F,AKE,200,153,162,30,Active,146,143,200,153,156,153,4.96,ake-container,true
*,B-777F,PRA,244,498,300,190,Active,234,488,122,498,244,498,33.11,slope-one-side,false
*,B-777F,PGA,244,618,300,190,Active,234,608,122,618,244,618,41.09,slope-one-side,false
*,A300-600,A-H,244,318,228,130,Active,234,308,124,318,244,318,15.82,slope-one-side,false
*,A330,H3,406,244,160,51,Active,308,234,406,244,318,244,15.85,low-pallet-flare,true
*,B-777F,W3(PAG),396,224,160,50,Active,308,214,396,224,318,224,14.19,low-pallet-flare,true
